Reading data/nin_grunntyper.json
NA_T3-C-10	NA_T3-E-3
NA_T3-C-11	NA_T3-E-7
NA_T3-C-12	NA_T3-E-7
NA_T3-C-13	NA_T3-E-3
NA_T3-C-14	NA_T3-E-3
NA_T3-C-2	NA_T3-E-4
NA_T3-C-3	NA_T3-E-4
NA_T3-C-4	NA_T3-E-2
NA_T3-C-5	NA_T3-E-5
NA_T3-C-6	NA_T3-E-5
NA_T3-C-7	NA_T3-E-3
NA_T3-C-8	NA_T3-E-6
NA_T3-C-9	NA_T3-E-6
NA_T40-C-1	NA_T40-E-1
NA_T41-C-1	NA_T41-E-1
NA_T42-C-1	NA_T42-E-1
NA_T43-C-1	NA_T43-E-1
NA_T44-C-1	NA_T44-E-1
NA_T45-C-1	NA_T45-E-1
NA_T45-C-2	NA_T45-E-2
NA_T45-C-3	NA_T45-E-2
NA_T4-C-1	NA_T4-E-1
NA_T4-C-10	NA_T4-E-5
NA_T4-C-11	NA_T4-E-6
NA_T4-C-12	NA_T4-E-6
NA_T4-C-13	NA_T4-E-4
NA_T4-C-14	NA_T4-E-5
NA_T4-C-15	NA_T4-E-6
NA_T4-C-16	NA_T4-E-6
NA_T4-C-17	NA_T4-E-2
NA_T4-C-18	NA_T4-E-3
NA_T4-C-19	NA_T4-E-3
NA_T4-C-2	NA_T4-E-2
NA_T4-C-20	NA_T4-E-6
NA_T4-C-3	NA_T4-E-3
NA_T4-C-4	NA_T4-E-3
NA_T4-C-5	NA_T4-E-1
NA_T4-C-6	NA_T4-E-2
NA_T4-C-7	NA_T4-E-3
NA_T4-C-8	NA_T4-E-3
NA_T4-C-9	NA_T4-E-4
NA_T5-C-1	NA_T5-E-1
NA_T5-C-2	NA_T5-E-2
NA_T5-C-3	NA_T5-E-3
NA_T5-C-4	NA_T5-E-4
NA_T5-C-5	NA_T5-E-1
NA_T5-C-6	NA_T5-E-1
NA_T5-C-7	NA_T5-E-2
NA_T6-C-1	NA_T6-E-1
NA_T6-C-2	NA_T6-E-2
NA_T7-C-1	NA_T7-E-1
NA_T7-C-10	NA_T7-E-6
NA_T7-C-11	
NA_T7-C-12	NA_T7-E-2
NA_T7-C-13	NA_T7-E-4
NA_T7-C-14	NA_T7-E-5
NA_T7-C-2	NA_T7-E-2
NA_T7-C-3	NA_T7-E-2
NA_T7-C-4	NA_T7-E-2
NA_T7-C-5	NA_T7-E-3
NA_T7-C-6	NA_T7-E-4
NA_T7-C-7	NA_T7-E-4
NA_T7-C-8	NA_T7-E-5
NA_T7-C-9	NA_T7-E-5
NA_T8-C-1	NA_T8-E-1
NA_T8-C-2	NA_T8-E-1
NA_T8-C-3	NA_T8-E-2
NA_T9-C-1	NA_T9-E-1
NA_T9-C-2	NA_T9-E-2
NA_V10-C-1	NA_V10-E-1
NA_V10-C-2	NA_V10-E-2
NA_V10-C-3	NA_V10-E-2
NA_V11-C-1	NA_V11-E-1
NA_V11-C-2	NA_V11-E-2
NA_V12-C-1	NA_V12-E-1
NA_V12-C-2	NA_V12-E-2
NA_V12-C-3	NA_V12-E-3
NA_V13-C-1	NA_V13-E-1
NA_V13-C-2	NA_V13-E-2
NA_V13-C-3	NA_V13-E-3
NA_V13-C-4	NA_V13-E-4
NA_V1-C-1	NA_V1-E-1
NA_V1-C-2	NA_V1-E-1
NA_V1-C-3	NA_V1-E-2
NA_V1-C-4	NA_V1-E-3
NA_V1-C-5	NA_V1-E-1
NA_V1-C-6	NA_V1-E-1
NA_V1-C-7	NA_V1-E-2
NA_V1-C-8	NA_V1-E-3
NA_V1-C-9	NA_V1-E-3
NA_V2-C-1	NA_V2-E-1
NA_V2-C-2	NA_V2-E-2
NA_V2-C-3	NA_V2-E-3
NA_V3-C-1	NA_V3-E-1
NA_V3-C-2	NA_V3-E-1
NA_V4-C-1	NA_V4-E-1
NA_V4-C-2	NA_V4-E-1
NA_V4-C-3	NA_V4-E-2
NA_V4-C-4	NA_V4-E-3
NA_V4-C-5	NA_V4-E-4
NA_V5-C-1	NA_V5-E-1
NA_V5-C-2	NA_V5-E-2
NA_V6-C-1	NA_V6-E-1
NA_V6-C-2	NA_V6-E-2
NA_V6-C-3	NA_V6-E-1
NA_V6-C-4	NA_V6-E-2
NA_V6-C-5	NA_V6-E-3
NA_V6-C-6	NA_V6-E-3
NA_V6-C-7	NA_V6-E-1
NA_V6-C-8	NA_V6-E-2
NA_V6-C-9	NA_V6-E-3
NA_V7-C-1	NA_V7-E-1
NA_V7-C-2	NA_V7-E-2
NA_V8-C-1	NA_V8-E-1
NA_V8-C-2	NA_V8-E-2
NA_V8-C-3	NA_V8-E-3
NA_V9-C-1	NA_V9-E-1
NA_V9-C-2	NA_V9-E-2
NA_V9-C-3	NA_V9-E-3
